Monday,10:00,13:00,45 / 2039 (L/R B),33,hnrd1g13
Tuesday,10:00,12:00,58 / 1041 (L/T A),33,hnrd1g13
Wednesday,13:00,14:00,20  ,33,hnrd1g13
Thursday,15:00,16:00,35 / 1005,33,hnrd1g13
Thursday,15:00,17:00,6 / 1083 (L/R C),33,hnrd1g13
Friday,09:00,11:00,7 / 3027 (L/R F1),33,hnrd1g13
Monday,13:00,14:00,44 / 2039 (L/R B),33,nhan1n12
Tuesday,10:00,12:00,85 / 1041 (L/T A),33,nhan1n12
Wednesday,13:00,14:00,30  ,33,nhan1n12
Thursday,15:00,16:00,57 / 1005,33,nhan1n12
Thursday,15:00,17:00,58 / 1083 (L/R C),33,nhan1n12
Friday,09:00,11:00,7 / 3027 (L/R F1),33,nhan1n12
Monday,15:00,16:00,15 / 2039 (L/R B),33,ee
Tuesday,10:00,12:00,35 / 1041 (L/T A),33,ee
Wednesday,13:00,14:00,36  ,33,ee
Thursday,15:00,16:00,20 / 1005,33,ee
Thursday,15:00,17:00,26 / 1083 (L/R C),33,ee
Friday,09:00,11:00,4 / 3027 (L/R F1),33,ee
